AB097653.1	3120
AB097655.1	3120
AB097666.1	133425
AB104583.1	222652
AB104584.1	222658
AB104585.1	222654
AB104586.1	222655
AB104587.1	222659
AB104588.1	116744
AB104590.1	137182
AB104592.1	137182
AB104594.1	222660
AB104595.1	222656
AB104596.1	137183
AB104597.1	56909
AB104598.1	56909
AB104599.1	56909
AB104600.1	56908
AB104601.1	222649
AB104604.1	56906
AB104605.1	116728
AB104606.1	51596
AB104607.1	1825864
AB104608.1	1825864
AB104610.1	166861
AB105224.1	224343
AB105229.1	118360
AB105230.1	118359
AB105236.1	118342
AB110798.1	231904
AB110799.1	180103
AB110800.1	231905
AB110803.1	180107
AB110813.1	180115
AB110814.1	231908
AB110820.1	158927
AB110821.1	231913
AB113763.1	51607
AB113765.1	51607
AB113768.1	51607
AB113769.1	51607
AB113770.1	51607
AB114868.1	239715
AB114869.1	239690
AB114870.1	239695
AB114875.1	239692
AB114876.1	239693
AB114877.1	239700
AB114878.1	239705
AB114879.1	239706
AB114880.1	239707
AB114881.1	239712
AB114883.1	239694
AB114884.1	239702
AB114886.1	239697
AB114887.1	239704
AB114888.1	239699
AB114890.1	239716
AB114891.1	239691
AB114892.1	239696
AB114894.1	239703
AB114898.1	239709
AB114899.1	191075
AB114900.1	59680
AB116029.1	240864
AB118109.1	243806
AB118110.1	243807
AB118111.1	243808
AB118112.1	243809
AB118113.1	243810
AB118114.1	243811
AB118115.1	243812
AB118116.1	238939
AB118117.1	243813
AB118118.1	238943
AB118119.1	200489
AB118120.1	238945
AB118121.1	243814
AB118122.2	238941
AB118123.1	137893
AB118125.1	284544
AB118126.1	243815
AB118128.1	243818
AB118129.1	243819
AB118130.1	243820
AB118131.1	243821
AB118132.1	238955
AB120179.1	230837
AB120180.1	38789
AB120181.1	231668
AB120182.1	2962499
AB120184.1	231656
AB120185.1	231651
AB120186.1	231648
AB120187.1	231650
AB120189.1	231666
AB120191.1	231657
AB120192.1	231662
AB120193.1	171906
AB120194.1	231644
AB120195.1	231661
AB120196.1	231655
AB120197.1	231664
AB120198.1	231658
AB120200.1	231652
AB120204.1	231643
AB120207.1	37490
AB120208.1	231673
AB120209.1	231646
AB120210.1	231649
AB120212.1	174164
AB120214.1	231669
AB120215.1	231671
AB124842.1	116730
AB124843.1	116734
AB125287.1	252359
AB125288.1	175169
AB125290.1	252364
AB125292.1	94688
AB125298.1	98940
AB125299.1	252362
AB159740.1	254905
AB159741.1	254905
AB163492.1	242210
AB163493.1	40798
AB163496.1	100321
AB163499.1	100323
AB163502.1	100320
AB163504.1	100320
AB163512.1	100320
AB163516.1	100320
AB163521.1	100322
AB163523.1	242202
AB163526.1	242207
AB163530.1	100319
AB169926.1	181800
AB169930.1	268258
AB169933.1	231899
AB169935.1	181802
AB169940.1	181803
AB169945.1	181804
AB169947.1	231901
AB169949.1	3151
AB169950.1	231902
AB169953.1	181805
AB169955.1	181806
AB169957.1	181799
AB175003.1	268837
AB175005.1	227309
AB175007.1	35925
AB175010.1	268840
AB175013.1	55363
AB175014.1	268841
AB175015.1	268842
AB175016.1	227308
AB175017.1	268843
AB175018.1	268844
AB175019.1	268845
AB175020.1	268846
AB175021.1	13493
AB175947.1	245148
AB175953.1	245149
AB176592.1	53091
AB176593.1	53046
AB177826.1	103875
AB177830.1	272746
AB177834.1	103875
AB177836.1	103877
AB177837.1	103875
AB180693.1	280054
AB180695.1	280055
AB180698.1	280059
AB180701.1	679952
AB180702.1	110288
AB180704.1	280063
AB180705.1	280064
AB180707.1	280065
AB180708.1	280066
AB180709.1	280067
AB180710.1	280068
AB180711.1	110299
AB180715.1	280072
AB180718.1	269566
AB180719.1	76408
AB180720.1	280077
AB191724.1	295898
AB191726.1	295899
AB191730.1	295901
AB191731.1	231902
AB194142.1	64042
AB194156.1	64042
AB194165.1	64042
AB194172.1	64042
AB194181.1	64032
AB194183.1	64027
AB194535.1	94688
AB196596.1	305701
AB196597.1	305706
AB196598.1	305715
AB196599.1	305707
AB196600.1	305716
AB196601.1	72907
AB196602.1	199235
AB196603.1	306491
AB196604.1	306490
AB196605.1	305714
AB196606.1	305702
AB196608.1	305708
AB196609.1	305705
AB196611.1	305712
AB196612.1	305711
AB196613.1	305710
AB198341.1	192263
AB198342.1	309713
AB198345.1	309702
AB198346.1	204351
AB198347.1	309703
AB198354.1	204357
AB198355.1	309708
AB198356.1	204358
AB198357.1	309709
AB198358.1	204361
AB198359.1	309711
AB198360.1	309712
AB198361.1	204362
AB198363.1	309701
AB198364.1	309705
AB198365.1	192268
AB198903.1	3827
AB198907.1	200948
AB198913.1	92719
AB198917.1	224826
AB198922.1	47088
AB198930.1	92718
